epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,642.124,0.63263,0.38234,1.01291,0.98166,0.99838,0.995,0.77899,0.87273,0.39673,1.41507,0.000156771,0.000156771,0.000156771
84,649.693,0.67438,0.40754,1.04472,0.982,1,0.995,0.80137,0.88092,0.37479,1.44029,0.000148524,0.000148524,0.000148524
85,657.5,0.6561,0.39105,1.05614,0.97927,1,0.995,0.80534,0.85189,0.37829,1.39367,0.000140277,0.000140277,0.000140277
86,664.967,0.64836,0.38492,1.0467,0.98057,1,0.995,0.80323,0.84576,0.37588,1.37923,0.000132031,0.000132031,0.000132031
87,672.611,0.68888,0.44617,1.07526,0.97553,1,0.995,0.814,0.82602,0.36627,1.37032,0.000123784,0.000123784,0.000123784
88,680.279,0.63893,0.39117,1.04374,0.97501,1,0.995,0.8179,0.83993,0.37239,1.39165,0.000115537,0.000115537,0.000115537
89,687.874,0.62357,0.38267,1.01412,0.97449,1,0.995,0.81358,0.85083,0.37242,1.40165,0.00010729,0.00010729,0.00010729
90,695.058,0.65604,0.38728,1.09216,0.97532,0.98913,0.995,0.80258,0.84143,0.36994,1.36114,9.90437e-05,9.90437e-05,9.90437e-05
91,702.523,0.56366,0.35745,1.04299,0.98298,1,0.995,0.80172,0.84117,0.38051,1.36577,9.0797e-05,9.0797e-05,9.0797e-05
92,709.833,0.53858,0.31875,1.01216,0.98636,1,0.995,0.80573,0.84247,0.37705,1.37983,8.25503e-05,8.25503e-05,8.25503e-05
93,716.843,0.52062,0.31855,1.00794,0.98687,0.99924,0.995,0.82617,0.84274,0.37433,1.39842,7.43036e-05,7.43036e-05,7.43036e-05
94,724.417,0.51576,0.31197,0.97751,0.98743,0.99594,0.995,0.82398,0.84382,0.37184,1.40225,6.60569e-05,6.60569e-05,6.60569e-05
95,731.436,0.5463,0.31804,1.01153,0.98689,0.99437,0.995,0.81534,0.84384,0.37301,1.40827,5.78102e-05,5.78102e-05,5.78102e-05
96,738.555,0.5103,0.30376,0.99599,0.98643,0.99564,0.995,0.82445,0.83999,0.36904,1.40213,4.95635e-05,4.95635e-05,4.95635e-05
97,745.623,0.51051,0.2995,0.96966,0.98554,0.99598,0.995,0.8252,0.84244,0.36063,1.40238,4.13168e-05,4.13168e-05,4.13168e-05
98,752.829,0.49436,0.2958,0.97731,0.98957,1,0.995,0.80361,0.84486,0.3531,1.41167,3.30701e-05,3.30701e-05,3.30701e-05
99,759.668,0.49874,0.30083,0.99576,0.98901,1,0.995,0.80338,0.84902,0.35082,1.4201,2.48234e-05,2.48234e-05,2.48234e-05
100,766.894,0.47141,0.30497,0.96881,0.98882,0.99882,0.995,0.81203,0.85077,0.35146,1.42393,1.65767e-05,1.65767e-05,1.65767e-05
